phase,phase_epoch,epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb,trainable_parameters
head,1,1,0.001,0.4788618977864583,0.82,0.9137931034482759,0.7066666666666667,0.7969924812030075,0.2425416052341461,0.9633333333333334,0.986013986013986,0.94,0.962457337883959,0.2591575622558594,0.96,1.0,0.92,0.9583333333333334,8.361928311001975,362.9,3074
head,2,2,0.001,0.1865539296468099,0.9833333333333333,0.9931972789115646,0.9733333333333334,0.9831649831649831,0.11051692982514699,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.12171710968017578,1.0,1.0,1.0,1.0,1.0681386579999526,362.9,3074
head,3,3,0.001,0.10070716852943103,0.99,0.9803921568627451,1.0,0.9900990099009901,0.06659226109584172,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.07150516510009766,1.0,1.0,1.0,1.0,1.075055778001115,362.9,3074
head,4,4,0.001,0.06972030326724052,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.0482409031689167,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.051134862899780274,1.0,1.0,1.0,1.0,1.0537656070009689,362.9,3074
head,5,5,0.001,0.05178277010718981,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,0.03803040822347005,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.04187140464782715,1.0,1.0,1.0,1.0,1.2469196239981102,362.9,3074
head,6,6,0.001,0.04374330361684164,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.03145565425356229,1.0,1.0,1.0,1.0,0.03770811557769775,1.0,1.0,1.0,1.0,1.0520895039990137,362.9,3074
head,7,7,0.001,0.036752374122540156,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.026700847173730533,1.0,1.0,1.0,1.0,0.034732040166854855,1.0,1.0,1.0,1.0,1.0518805129977409,362.9,3074
head,8,8,0.001,0.03192928632100423,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.022854258591930073,1.0,1.0,1.0,1.0,0.03146998286247253,1.0,1.0,1.0,1.0,1.1138532660006604,362.9,3074
head,9,9,0.001,0.027481513818105062,1.0,1.0,1.0,1.0,0.01966666102409363,1.0,1.0,1.0,1.0,0.026773065328598022,1.0,1.0,1.0,1.0,1.0402538609996554,362.9,3074
head,10,10,0.001,0.020546427555382253,1.0,1.0,1.0,1.0,0.017330348504086334,1.0,1.0,1.0,1.0,0.024418967962265014,1.0,1.0,1.0,1.0,1.1332776290000766,362.9,3074
head,11,11,0.001,0.02304279088973999,1.0,1.0,1.0,1.0,0.015343875077863535,1.0,1.0,1.0,1.0,0.02118476986885071,1.0,1.0,1.0,1.0,1.0093796379987907,362.9,3074
head,12,12,0.001,0.01939111154526472,1.0,1.0,1.0,1.0,0.013667691151301066,1.0,1.0,1.0,1.0,0.02025303840637207,1.0,1.0,1.0,1.0,1.121198111999547,362.9,3074
