phase,phase_epoch,epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb,trainable_parameters
head,1,1,0.001,0.44935750285784404,0.8533333333333334,0.8897058823529411,0.8066666666666666,0.8461538461538461,0.23695597330729168,0.9566666666666667,1.0,0.9133333333333333,0.9547038327526133,0.2515380859375,0.95,1.0,0.9,0.9473684210526315,1.449294830999861,210.4,2562
head,2,2,0.001,0.1812762959798177,0.96,1.0,0.92,0.9583333333333334,0.1208652244011561,0.99,0.9932885906040269,0.9866666666666667,0.9899665551839465,0.1332317352294922,0.98,1.0,0.96,0.9795918367346939,1.1265439849994436,210.4,2562
head,3,3,0.001,0.11123012562592824,0.99,0.9932885906040269,0.9866666666666667,0.9899665551839465,0.08163312902053198,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.0929997444152832,0.98,1.0,0.96,0.9795918367346939,1.1203216329995485,210.4,2562
head,4,4,0.001,0.08260930699606736,0.9866666666666667,0.9932432432432432,0.98,0.9865771812080537,0.061289005279541016,1.0,1.0,1.0,1.0,0.08139713287353516,0.98,1.0,0.96,0.9795918367346939,1.1123417250000784,210.4,2562
head,5,5,0.001,0.058796888962388036,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.04947278509537379,1.0,1.0,1.0,1.0,0.07089348793029786,0.98,1.0,0.96,0.9795918367346939,1.111477342001308,210.4,2562
head,6,6,0.001,0.05372021039326986,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.041826454798380534,1.0,1.0,1.0,1.0,0.06257399082183839,0.98,1.0,0.96,0.9795918367346939,1.106309794999106,210.4,2562
head,7,7,0.001,0.045052296221256255,1.0,1.0,1.0,1.0,0.036222625623146695,1.0,1.0,1.0,1.0,0.059966449737548826,0.98,1.0,0.96,0.9795918367346939,1.1172280440005125,210.4,2562
head,8,8,0.001,0.038330820401509605,1.0,1.0,1.0,1.0,0.031633000373840335,1.0,1.0,1.0,1.0,0.05293937683105469,0.98,1.0,0.96,0.9795918367346939,1.074851953999314,210.4,2562
head,9,9,0.001,0.03710640432933966,1.0,1.0,1.0,1.0,0.028414818445841473,1.0,1.0,1.0,1.0,0.04629517793655395,0.99,1.0,0.98,0.98989898989899,1.1840026370009582,210.4,2562
head,10,10,0.001,0.031324126770099006,1.0,1.0,1.0,1.0,0.02568976884086927,1.0,1.0,1.0,1.0,0.04270240068435669,0.99,1.0,0.98,0.98989898989899,1.2057690059991728,210.4,2562
head,11,11,0.001,0.02656103377540906,1.0,1.0,1.0,1.0,0.02305647060275078,1.0,1.0,1.0,1.0,0.041450634002685546,0.99,1.0,0.98,0.98989898989899,1.1545704000018304,210.4,2562
head,12,12,0.001,0.030624036801358064,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.020727459539969764,1.0,1.0,1.0,1.0,0.041602623462677,0.99,1.0,0.98,0.98989898989899,1.0716378560027806,210.4,2562
